"","X","Group","Strain","Cage","ID","Genotype","Treatment","Strains","GroupName","StartCoil","PreCoil","PostCoil","StartPath","PrePath","PostPath","group","timepoint","file","AbsPath","RelPath","Age","AgeMinus9","amygdala","anterior_commissure_pars_anterior","anterior_commissure_pars_posterior","arbor_vita_of_cerebellum","basal_forebrain","bed_nucleus_of_stria_terminalis","cerebellar_cortex","cerebellar_peduncle_inferior","cerebellar_peduncle_middle","cerebellar_peduncle_superior","cerebral_aqueduct","cerebral_cortex_entorhinal_cortex","cerebral_cortex_frontal_lobe","cerebral_cortex_occipital_lobe","cerebral_cortex_parieto_temporal_lobe","cerebral_peduncle","colliculus_inferior","colliculus_superior","corpus_callosum","corticospinal_tract_pyramids","cuneate_nucleus","dentate_gyrus_of_hippocampus","facial_nerve_cranial_nerve_7","fasciculus_retroflexus","fimbria","fornix","fourth_ventricle","fundus_of_striatum","globus_pallidus","habenular_commissure","hippocampus","hypothalamus","inferior_olivary_complex","internal_capsule","interpedunclar_nucleus","lateral_olfactory_tract","lateral_septum","lateral_ventricle","mammillary_bodies","mammilothalamic_tract","medial_lemniscus_medial_longitudinal_fasciculus","medial_septum","medulla","midbrain","nucleus_accumbens","olfactory_bulbs","olfactory_tubercle","optic_tract","periaqueductal_grey","pons","pontine_nucleus","posterior_commissure","pre_para_subiculum","stratum_granulosum_of_hippocampus","stria_medullaris","stria_terminalis","striatum","subependymale_zone_rhinocele","superior_olivary_complex","thalamus","third_ventricle","ventral_tegmental_decussation","brainvolumes"
"1",1,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aStart.1.RegReady/stats-volumes/concat_of_G10aStart.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aStart.1.RegReady/stats-volumes/concat_of_G10aStart.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,13.3001626295326,1.26685054866527,0.417238786122892,10.9830060703947,5.23886587404759,1.22801075823126,51.6085149582222,0.8546812409527,1.48720190751232,1.00895119338756,0.463601190145779,9.85829979131093,37.8931182076499,9.29355835681818,79.6228049717768,2.52207804160877,5.89625539907146,9.48286101882419,15.7667374614727,1.30614405850744,0.28235882421899,3.62772601839022,0.236149270760129,0.199358773968414,2.92013143129198,0.564703467353138,0.382980300314173,0.16088244395325,3.07299429473021,0.0524443331337048,20.8199597537792,10.3759634140888,0.291242550245785,3.11487506772767,0.246420077952411,1.08618472352062,2.66287056653764,3.02370578493989,0.561856016201909,0.276542221081513,2.52301937929498,1.08175853976992,25.3745041756417,14.2694896645656,3.9914478550665,24.6643627577166,3.72197819400221,1.74968290053128,4.06643989879423,17.3023794840443,0.766446059703782,0.190775612624013,2.47397385855155,0.848738462895854,0.589532110066307,1.11003448435137,20.6573001577177,0.0600122056551846,0.784653962490951,17.6137857382543,0.939823545644745,0.129661272502362,458.36809211833
"2",2,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPre.1.RegReady/stats-volumes/concat_of_G10aPre.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPre.1.RegReady/stats-volumes/concat_of_G10aPre.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,12.980755893447,1.2694260415541,0.412492353607089,11.0012186298981,5.09743614687613,1.21008556452698,50.8927249215891,0.888755340703673,1.6261487571587,1.01882859506456,0.464749906952875,9.11214078115831,37.6953752441928,8.49675351264808,75.5466955717242,2.6482841280251,5.76922175320552,8.92247711103955,14.8270685506613,1.66260398357944,0.27174533493358,3.70785947635918,0.254395286328361,0.196491648690766,2.83363870036406,0.578417078944271,0.360749823063113,0.158688609814199,2.87619728250599,0.0547588393098609,20.3945577090555,10.4377443295291,0.414390782199607,2.91989426907291,0.273670767610197,1.1210586025029,2.7041252319563,2.90269394417659,0.558689436301488,0.286692048331619,2.84377570816932,1.12390808221279,28.0940137911394,14.7510582076124,4.00051446616764,23.8001556735696,3.87268952391588,1.75696603019794,3.86743188774782,18.4270797540671,0.881665218278578,0.175855622339205,2.28627947322298,0.883261779999748,0.601087786135392,1.03948417478842,20.3161444042535,0.0614982287978069,0.918750514692158,17.16958083681,0.985831748376693,0.147738693982207,452.854473595139
"3",3,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPost.1.RegReady/stats-volumes/concat_of_G10aPost.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPost.1.RegReady/stats-volumes/concat_of_G10aPost.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,13.5914717524294,1.41948510154765,0.441306185278739,11.525963225509,5.50767944991101,1.30758407564816,52.5655737445984,0.914751894740364,1.58913191997563,1.0227796914866,0.449733234797771,9.09421853455818,42.8052959245218,7.77915825508042,75.1469239613706,2.56835843571835,5.65522919226357,9.64207491970264,15.5873398665716,1.58519637359378,0.292364264459625,3.59253854757738,0.24055162615133,0.21526328245834,2.89137674946547,0.601425587274059,0.363966428185797,0.173099509925828,3.01597401233483,0.0521850521687425,20.9805713369984,10.4836219792862,0.391832325479521,2.96458737719225,0.288399588618387,1.13860204959561,2.89904544001509,2.94502504270626,0.538327446329564,0.26921400866519,2.75830097897796,1.17793216173255,28.0419756202114,14.8655995943097,4.33368270412805,26.0040391720619,3.99148523215095,1.74270951316476,4.02903472913704,18.3466900881298,0.857681194241729,0.210321446987315,2.34655834426101,0.852697612679658,0.641133122904324,1.0711111791824,21.6530404296498,0.0689629205196716,0.936195705264083,17.6138075563032,1.00029778971735,0.144147267714942,467.224631757621
"4",4,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aStart.2.RegReady/stats-volumes/concat_of_G10aStart.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aStart.2.RegReady/stats-volumes/concat_of_G10aStart.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,12.9166020500205,1.26723173659191,0.414331245064664,10.9583946821898,5.2136320312802,1.20041239232303,52.2725156481513,0.869021687973557,1.57622595856368,0.962908451422764,0.490827203655293,8.79685816317626,40.3378758835976,7.93513593651326,76.6646626076693,2.44976841317749,5.64357773165276,9.44812451115966,15.4110980055425,1.55320809721197,0.294903100510239,3.49000706431999,0.241971867639722,0.200578884465118,2.82558152184945,0.569833070324605,0.39113289668298,0.169613325767124,3.06917700945029,0.0544496655068994,20.3156598392169,10.1863811100512,0.346013417447599,2.95529791340009,0.299742088083265,1.09504637375031,2.69969359475421,2.87432077982063,0.51201030711158,0.270774746038957,2.6736106364581,1.11510321172559,27.5524884390109,14.3841130247351,4.08993628801817,23.6752215570092,3.80574120441642,1.64941790481009,4.09380087566098,17.7990963495077,0.868932329146308,0.201653675493075,2.34469285301772,0.833302326500812,0.600363184274702,1.03486103293572,20.7672751946463,0.0596085195674264,0.901651168771916,17.2371159797369,0.94848651629817,0.136371715481055,456.017445000351
"5",5,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPre.2.RegReady/stats-volumes/concat_of_G10aPre.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPre.2.RegReady/stats-volumes/concat_of_G10aPre.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,13.2238894725403,1.33173831067573,0.421294281809837,11.0107167158123,5.21814861901944,1.2007674223889,51.4789318599154,0.919920239371556,1.60357835275223,0.951383459652778,0.489336910901638,8.55538853364366,39.4764486447766,7.75649567940236,74.5610138269187,2.58540325328267,5.89774823001682,9.39862715935773,14.8021479103291,1.58341438729277,0.293682459014731,3.6331981294001,0.239447519604869,0.205954825721276,2.88259756257139,0.569379929176514,0.395707898808878,0.165352436309002,2.99280905777728,0.0607812508357802,20.3022659870946,10.1747698057891,0.36587578467946,2.88886090544665,0.300384297498917,1.12670777538903,2.72993972664999,2.86264223893961,0.524139548419261,0.265804108007999,2.69513315336854,1.14975788844809,27.7884364140476,14.4426761508931,4.12838766434124,24.2603844781407,3.8718646750985,1.73857530146987,3.99717600062164,18.2262898437083,0.885826009258161,0.199930049087494,2.33292624051197,0.884982407168935,0.59408548987667,1.01480170076517,20.1865319129191,0.0633691838453131,0.938560718463481,16.776520113573,0.963954376722453,0.139051165478943,452.725915454803
"6",6,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPost.2.RegReady/stats-volumes/concat_of_G10aPost.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPost.2.RegReady/stats-volumes/concat_of_G10aPost.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,13.1446180488655,1.34730508778874,0.425473740839278,10.9700712695495,5.43531758422587,1.28140303725135,51.4482988979248,0.908348436167993,1.5952320436253,1.02242288694567,0.488078555187435,8.718132902396,38.4369418800529,8.04094549851508,73.4729050900619,2.54412484813173,6.01478974349652,9.49531894370105,14.9995196646855,1.57893114581644,0.289491991346079,3.54562173454772,0.247628192307086,0.206420387431982,2.89469763827347,0.572541343674611,0.390987572041928,0.161410292091869,2.93907986567813,0.056495796394641,20.623803794252,10.1952339487424,0.355130848748104,2.8940213212751,0.296368197034143,1.14858677340616,2.72968864441558,2.88703435865671,0.516987715419548,0.267941485574703,2.71413915671032,1.16747513819706,28.2409247218806,14.4297060416288,4.18385139149201,24.4724721548635,3.9312286114004,1.70556710320646,4.05082500991946,18.2812525765239,0.868268867339759,0.190736947684062,2.27804057809419,0.856879067147253,0.618448716521751,1.02957257467945,20.3007931154489,0.0632338484342009,0.912919873700351,16.8899943980948,0.967868762504145,0.135197055959863,452.876746917972
"7",7,10,"FMR1",NA,230,"Wt","Oxt","F","G10","3a","3a","","G10aStart.3.","G10aPre.3.","G10NAPost.NA.","10-FMR1-230","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aStart.3.RegReady/stats-volumes/concat_of_G10aStart.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aStart.3.RegReady/stats-volumes/concat_of_G10aStart.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,13.7615397303235,1.3214528355095,0.430027067604797,11.1299585327006,5.43735148359672,1.27653128296804,53.0909284080846,0.883269038405579,1.57754971726881,1.01690858973078,0.508686044746438,9.21412216833944,40.9282395721535,8.38720662519963,80.5172413490989,2.56611188676336,6.03396100685236,9.75973712604435,16.0440161414875,1.54370943989074,0.292016993424841,3.48075173046208,0.255144016856019,0.21376870576061,2.98944095197243,0.604208248640713,0.413269730716699,0.174248390272706,2.99667654269993,0.0510672421625158,20.6147325518529,10.5147905447993,0.345015361437916,2.9963704692632,0.298727288206559,1.1393256761204,2.78673160983227,3.01358373478388,0.555416365693557,0.2867091279183,2.74114873600971,1.10009449789025,28.7921857626614,15.0000967420597,4.16549422086308,24.4051986555349,4.03322287854494,1.74123733191025,4.35205086423158,18.5803957823499,0.83807877813595,0.209299326384822,2.47584014939,0.815049006914201,0.617529160241985,1.07718580762354,21.4257628164844,0.0628942237264049,0.944974653560951,17.664671646777,0.965745704986269,0.131512013798831,471.590212089726
"8",8,10,"FMR1",NA,230,"Wt","Oxt","F","G10","3a","3a","","G10aStart.3.","G10aPre.3.","G10NAPost.NA.","10-FMR1-230","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aPre.3.RegReady/stats-volumes/concat_of_G10aPre.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aPre.3.RegReady/stats-volumes/concat_of_G10aPre.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,13.6201879573619,1.33569151142718,0.445304434634164,11.2697410435242,5.35661116271075,1.31455106277719,52.3679014901112,0.917619666504926,1.54939908536663,1.02233780834183,0.495441621541738,9.02609040524869,39.5549412496974,8.18645008499021,76.1990730199661,2.64111085074486,5.9867009794836,9.41063200620352,15.4002406892748,1.62084214256601,0.294329194596744,3.68384459179689,0.271125312109759,0.211355350567573,3.01129158883296,0.610618814881694,0.416434047854366,0.167068040799929,3.11232651490365,0.0587404434009436,20.7370579561395,10.6557916980835,0.392028817033447,3.10195688104841,0.280558301243868,1.17587076335777,2.76983334976992,3.03041518541092,0.544559700894209,0.277207050216919,2.82818571233478,1.13299739091088,29.0988495536153,14.6268397823627,4.12621933348273,24.4905271301602,4.07307295436477,1.78248481144738,4.06376694413858,18.5151415297014,0.837857858078233,0.196811864637579,2.34197810088282,0.876938684470641,0.663868022986446,1.10192539542358,20.7915326552538,0.0636869427208603,0.953540351628794,17.3636109879271,1.0429157504226,0.132589914217076,463.628623546588
"9",9,10,"FMR1",NA,231,"Wt","Pl","F","G10","4a","4a","3a","G10aStart.4.","G10aPre.4.","G10aPost.3.","10-FMR1-231","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.4.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aStart.4.RegReady/stats-volumes/concat_of_G10aStart.4.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aStart.4.RegReady/stats-volumes/concat_of_G10aStart.4.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,12.5813045799108,1.27066598162327,0.411536083054977,10.8365399296717,4.82649280998576,1.19709106736562,49.8783414315262,0.862050709504561,1.48489020531863,1.01986139965069,0.485266916972977,9.52484502719359,36.3052360095731,8.60070289045773,73.6937298336599,2.50282590366379,6.00908917730936,9.12413244253373,14.8137651614429,1.43937419752932,0.300901292266897,3.44618509343977,0.244297636395889,0.194006740279625,2.78966771828096,0.591401825468078,0.439883751982932,0.154253521100935,2.86969248689165,0.0509878077116755,19.8322928909085,10.0437227703806,0.349076250101351,2.86672088756713,0.272257194600341,1.06929396117558,2.62595660818238,2.88199210464778,0.512073757311406,0.268633076856138,2.61387895139172,1.04814744095605,27.1680792118905,13.9574462051376,3.78490368765557,23.5401381780401,3.40505103409327,1.66014284195754,4.08040370206455,17.5328723592981,0.725259994978269,0.185809252673484,2.37485791776407,0.817357409553796,0.574192242029412,1.02350001896861,19.9201003266225,0.061060273370467,0.855091376730765,16.3085273258151,0.94385777145508,0.129250053091894,441.380966709037
"10",10,10,"FMR1",NA,231,"Wt","Pl","F","G10","4a","4a","3a","G10aStart.4.","G10aPre.4.","G10aPost.3.","10-FMR1-231","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aPost.3.RegReady/stats-volumes/concat_of_G10aPost.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aPost.3.RegReady/stats-volumes/concat_of_G10aPost.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,13.6299302791469,1.40192605990007,0.441192736000943,10.7446600993882,5.51632997534525,1.30964130404767,48.7776620482246,0.887152595004248,1.57158350898789,0.96516189821304,0.50084671483643,8.33120900526716,38.6044962805198,7.22549004685916,74.0472107256244,2.61764780375414,5.80657430705137,9.53149581024905,14.7984591921798,1.62696805337589,0.29520994394927,3.51414375199386,0.265937046766042,0.21057944821461,2.85448785896292,0.605477669895833,0.437587262990924,0.171412178221938,2.98451166006063,0.0521539043252737,20.5646274906001,10.4462366355797,0.367759825980387,2.88589279608693,0.28803309302626,1.22680321885146,2.76639444243988,2.86544016392999,0.504700529702314,0.27748471199646,2.7294149805882,1.15261349358894,28.4565453039491,14.7281120826177,4.40365210569051,25.1665341448972,4.08718495857042,1.75242399308379,4.10342605816602,18.5671296134398,0.83265608971134,0.195050166675389,2.20589507808538,0.846749049178763,0.629292231887401,1.02460598302125,20.505437593448,0.0662597534296848,0.985387347447325,17.2800082287547,0.994017801833464,0.138269541153863,452.771177676769
