"","X","Group","Strain","Cage","ID","Genotype","Treatment","Strains","GroupName","StartCoil","PreCoil","PostCoil","StartPath","PrePath","PostPath","group","timepoint","file","AbsPath","RelPath","Age","AgeMinus9","amygdala","anterior_commissure_pars_anterior","anterior_commissure_pars_posterior","arbor_vita_of_cerebellum","basal_forebrain","bed_nucleus_of_stria_terminalis","cerebellar_cortex","cerebellar_peduncle_inferior","cerebellar_peduncle_middle","cerebellar_peduncle_superior","cerebral_aqueduct","cerebral_cortex_entorhinal_cortex","cerebral_cortex_frontal_lobe","cerebral_cortex_occipital_lobe","cerebral_cortex_parieto_temporal_lobe","cerebral_peduncle","colliculus_inferior","colliculus_superior","corpus_callosum","corticospinal_tract_pyramids","cuneate_nucleus","dentate_gyrus_of_hippocampus","facial_nerve_cranial_nerve_7","fasciculus_retroflexus","fimbria","fornix","fourth_ventricle","fundus_of_striatum","globus_pallidus","habenular_commissure","hippocampus","hypothalamus","inferior_olivary_complex","internal_capsule","interpedunclar_nucleus","lateral_olfactory_tract","lateral_septum","lateral_ventricle","mammillary_bodies","mammilothalamic_tract","medial_lemniscus_medial_longitudinal_fasciculus","medial_septum","medulla","midbrain","nucleus_accumbens","olfactory_bulbs","olfactory_tubercle","optic_tract","periaqueductal_grey","pons","pontine_nucleus","posterior_commissure","pre_para_subiculum","stratum_granulosum_of_hippocampus","stria_medullaris","stria_terminalis","striatum","subependymale_zone_rhinocele","superior_olivary_complex","thalamus","third_ventricle","ventral_tegmental_decussation"
"1",1,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aStart.1.RegReady/stats-volumes/concat_of_G10aStart.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aStart.1.RegReady/stats-volumes/concat_of_G10aStart.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,2.90163361242411,0.276382795933847,0.0910270137248513,2.39611051887079,1.14293860417648,0.267909302446436,11.2591857604476,0.186461766350887,0.324455810315957,0.220118112655865,0.101141680260348,2.15073866633063,8.26696248260395,2.02753169704033,17.370930992121,0.550229844741828,1.28635816944023,2.06883096399654,3.43975458427032,0.284955275239851,0.0616008899995808,0.791443837555277,0.0515195701491294,0.0434931613688652,0.637071271212774,0.123198686178914,0.0835530018121996,0.0350989623229964,0.670420639562515,0.0114415322609686,4.54219220573591,2.26367489197093,0.0635390105144142,0.679557569841391,0.053760303605251,0.236967786850271,0.580945884394196,0.65966759836313,0.122577471220851,0.060331909187545,0.550435211935225,0.236002147263484,5.53583563340424,3.11310710975096,0.870795311388318,5.38090743701885,0.812006389188487,0.381720047843031,0.887155971088943,3.77477834551746,0.167211913936173,0.0416206136300524,0.539735182507616,0.185165258553108,0.12861543379728,0.242170976435422,4.50670553053787,0.0130925792364474,0.171184246020421,3.84271637601407,0.205036860506888,0.028287586926729
"2",2,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPre.1.RegReady/stats-volumes/concat_of_G10aPre.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPre.1.RegReady/stats-volumes/concat_of_G10aPre.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,2.86642986882626,0.280316551027161,0.091087176490138,2.42930549908477,1.12562344949546,0.267212898421937,11.2382073908998,0.196256279340245,0.359088592909101,0.224979249288682,0.102626767328431,2.01215651218337,8.32394895979172,1.87626577809726,16.6823339453779,0.584798049360271,1.27396814862059,1.97027469778656,3.27413538237826,0.367138690356816,0.0600072099931437,0.818775057453463,0.0561759463937184,0.0433895788046104,0.625728322361101,0.127726921708935,0.0796613137547651,0.0350418554010068,0.635126171918392,0.012091928533937,4.50355663865842,2.30487826401836,0.0915063903222211,0.644775405638005,0.0604323869073367,0.247553831941416,0.597128965181393,0.640977204251196,0.123370634249485,0.0633077655290931,0.627966791537475,0.24818305829912,6.203762009483,3.25735066510575,0.883399568609359,5.25558585843792,0.855173074292768,0.387975858171317,0.85401207523576,4.06909522341195,0.194690627935986,0.0388327007003189,0.504859641790127,0.195043183075498,0.132733101069633,0.229540445197797,4.48624129578911,0.0135801305681232,0.202879858378862,3.79141243775367,0.217692836409528,0.0326238786622406
"3",3,10,"FMR1",NA,228,"Wt","Oxt","F","G10","1a","1a","1a","G10aStart.1.","G10aPre.1.","G10aPost.1.","10-FMR1-228","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.1.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPost.1.RegReady/stats-volumes/concat_of_G10aPost.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-228_processed/G10aPost.1.RegReady/stats-volumes/concat_of_G10aPost.1.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-228-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,2.90898014115834,0.303812129126794,0.0944526797781656,2.46689973988535,1.17880759607901,0.279861973614115,11.250599855332,0.195784175868301,0.340121605746166,0.218905344874279,0.0962563196006918,1.94643388135323,9.16160943045649,1.66497177724054,16.0836819922529,0.549705272613007,1.21038763966479,2.06369148035513,3.33615541799127,0.339279281494756,0.0625746684972065,0.768910349196028,0.0514852192715985,0.0460727598304385,0.618840821509901,0.128723005251585,0.0778996661234696,0.0370484555308345,0.645508350231715,0.0111691568940685,4.49046773456121,2.24380763913249,0.0838637988766802,0.63451007838349,0.0617261096730872,0.243694782381738,0.620482149904931,0.630323155615227,0.115218122020765,0.0576198236065705,0.59035863939829,0.252112598880192,6.0018187642895,3.18168148335583,0.927537293533832,5.56563960984657,0.854296833010633,0.372991789112011,0.862333544783477,3.92673862658152,0.1835693445817,0.0450150597146645,0.502233440782788,0.182502709557917,0.137221601629282,0.229249724089473,4.63439616789779,0.0147601208995007,0.200373790598811,3.76987991622851,0.214093547669865,0.0308518125794619
"4",4,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aStart.2.RegReady/stats-volumes/concat_of_G10aStart.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aStart.2.RegReady/stats-volumes/concat_of_G10aStart.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,2.83247980787458,0.277891065459334,0.0908586392049859,2.40306479551048,1.14329661911864,0.263238261054269,11.4628324467085,0.190567641106995,0.345650364003611,0.211156055975451,0.107633426974469,1.92906176279495,8.8456870073395,1.74009481951006,16.811782849143,0.537209363377668,1.23757934998483,2.0718778666795,3.37949746758714,0.340602780494675,0.0646692585433901,0.765323147739951,0.0530619760916243,0.0439849147580228,0.619621365986838,0.124958612125939,0.0857714767211764,0.0371944818398327,0.673039385466476,0.0119402593264513,4.45501812747565,2.23377005018819,0.0758772326017775,0.648066854854163,0.0657303994330819,0.240132561978954,0.592015420539916,0.63030939086517,0.11227866668811,0.0593781551578028,0.586295692362393,0.24453082309707,6.04198123143945,3.15429007868856,0.896881541015393,5.19173593391607,0.83456044196149,0.361700615380804,0.897729005884376,3.90316128136151,0.190548045622605,0.0442206055281328,0.514167358886,0.182734747461289,0.131653556427921,0.2269345272383,4.55405279388606,0.0130715436922332,0.197722955263525,3.77992468681185,0.207993471893919,0.0299049338958841
"5",5,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPre.2.RegReady/stats-volumes/concat_of_G10aPre.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPre.2.RegReady/stats-volumes/concat_of_G10aPre.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,2.92094819870335,0.294159946496078,0.0930572488625065,2.4320933129598,1.15260656412332,0.26523054709219,11.3708824926005,0.203195842775516,0.354205115724665,0.210145570901774,0.108086790306682,1.8897501206771,8.71972363347459,1.71328731460188,16.4693496178622,0.571074719830298,1.30271937803517,2.07600820684541,3.26956054535977,0.349751214419012,0.0648698139402294,0.802516048976394,0.0528901729348369,0.0454921661629149,0.636720245995984,0.125767028071393,0.0874056212159523,0.036523740007879,0.661064223542569,0.0134256177437336,4.48444970655129,2.24744585155184,0.0808161786611896,0.638103719453421,0.0663501441478458,0.248871941482994,0.603000542592647,0.632312430372764,0.115774142925464,0.0587119267826705,0.595312320625835,0.253963347181716,6.13802644501401,3.19015891466786,0.911895591440555,5.35873552848615,0.855233717117536,0.384023808251249,0.882913008548698,4.02589938448705,0.195664966156901,0.0441613882180008,0.515306537768739,0.195478627787387,0.131224095991911,0.224153658123528,4.45888587858725,0.0139972512467401,0.20731323001923,3.70566816276013,0.212922287816035,0.030714204937717
"6",6,10,"FMR1",NA,229,"Wt","Pl","F","G10","2a","2a","2a","G10aStart.2.","G10aPre.2.","G10aPost.2.","10-FMR1-229","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.2.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPost.2.RegReady/stats-volumes/concat_of_G10aPost.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-229_processed/G10aPost.2.RegReady/stats-volumes/concat_of_G10aPost.2.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-229-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,2.9024713983044,0.297499285833895,0.0939491249517262,2.4223083530355,1.20017590243165,0.282947412507237,11.3603313148784,0.200572990852303,0.352244193256016,0.225761842245978,0.107772933476719,1.92505642246522,8.48728536884118,1.77552624488612,16.2235984934262,0.56176981164205,1.32812951524446,2.09666736221741,3.31205339350362,0.348644781734053,0.0639229091173706,0.782910970518416,0.0546789372588252,0.0455798158851751,0.63918001044946,0.126423215051559,0.0863342122780144,0.0356411083568185,0.648980078063155,0.0124748724192885,4.5539551179446,2.25121603573721,0.0784166666018796,0.639030672466672,0.0654412484304087,0.253620169554478,0.60274427048691,0.637487876846022,0.114156383373154,0.0591643283516242,0.599310778303645,0.257790921291997,6.23589639213598,3.18623248816138,0.923838863435799,5.40378200501783,0.86805706809947,0.376607347322116,0.894465224255194,4.03669490671269,0.191722995991452,0.0421167456669198,0.503015576224056,0.189208007030323,0.136560050991925,0.227340569301946,4.48263092631822,0.0139627059381025,0.201582412855855,3.72949031122458,0.213715711634771,0.0298529471605551
"7",7,10,"FMR1",NA,230,"Wt","Oxt","F","G10","3a","3a","","G10aStart.3.","G10aPre.3.","G10NAPost.NA.","10-FMR1-230","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aStart.3.RegReady/stats-volumes/concat_of_G10aStart.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aStart.3.RegReady/stats-volumes/concat_of_G10aStart.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,2.91811394247199,0.280212099749449,0.0911865973000685,2.36009108063995,1.15298225964075,0.270686551638006,11.2578520603357,0.187295880143824,0.334517060962381,0.215633947368124,0.107866115900144,1.95384084150295,8.67877206161487,1.77849463584792,17.0735607493439,0.544140192264025,1.27949241781641,2.06953767823057,3.40210965583717,0.327341280695842,0.0619217672332183,0.738088204807742,0.0541029076336033,0.0453293347233291,0.633906488161729,0.128121456542392,0.0876332290454893,0.036949110860586,0.635440784366782,0.0108287324149975,4.37132324280104,2.22964562775929,0.0731599920000613,0.635375881951744,0.0633446752176702,0.24159230766724,0.590922274973353,0.639025929191785,0.117775210650021,0.0607962422815827,0.581256494672153,0.233273394928083,6.10533998046237,3.18074810662223,0.883286827011274,5.17508591779074,0.855238886463056,0.369226775126317,0.922845884554438,3.93994516977268,0.177713352960026,0.0443816095031676,0.524998205204256,0.17282992437492,0.13094613594832,0.22841564137862,4.54330099887822,0.01333662618817,0.200380463660081,3.74576723475679,0.204784934086487,0.0278869260700026
"8",8,10,"FMR1",NA,230,"Wt","Oxt","F","G10","3a","3a","","G10aStart.3.","G10aPre.3.","G10NAPost.NA.","10-FMR1-230","PreFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPre.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aPre.3.RegReady/stats-volumes/concat_of_G10aPre.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-230_processed/G10aPre.3.RegReady/stats-volumes/concat_of_G10aPre.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-230-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",8,1,2.93773664213666,0.288095135543969,0.0960476579784374,2.43076904038297,1.15536679373561,0.283535354810787,11.2952261423197,0.197921271444691,0.334189695518429,0.220507914399529,0.106861741570611,1.94683631398821,8.53160034579329,1.76573439801168,16.4353685579357,0.569660870060466,1.29127078774549,2.02977804394726,3.321675993917,0.349599239617081,0.0634838272808168,0.794567980642962,0.0584789847606366,0.0455872092086942,0.649505107298529,0.131704296039939,0.0898206078539326,0.0360348848873739,0.671297317904037,0.0126697189124349,4.47277344472579,2.29834638262208,0.0845566466614099,0.669060692870854,0.0605135850107139,0.253623418321931,0.597425009823965,0.653629873459788,0.117456013981304,0.0597907540945999,0.610011023629258,0.24437606596501,6.27632723170106,3.15486124874532,0.889983733514698,5.28235874282669,0.878520597629901,0.384463926711864,0.876513385444639,3.99352856777206,0.180717456931138,0.0424503265419724,0.505140964543465,0.189146795502483,0.143189611096075,0.237674151132917,4.48452308578497,0.0137366287339377,0.205668999539882,3.74515508880833,0.224946368160938,0.0285983020640123
"9",9,10,"FMR1",NA,231,"Wt","Pl","F","G10","4a","4a","3a","G10aStart.4.","G10aPre.4.","G10aPost.3.","10-FMR1-231","StartFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aStart.4.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aStart.4.RegReady/stats-volumes/concat_of_G10aStart.4.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aStart.4.RegReady/stats-volumes/concat_of_G10aStart.4.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",5,-4,2.85044112203519,0.28788418111851,0.0932382939217826,2.45514436439559,1.09349817369163,0.271214927161722,11.3005193231195,0.195307630941149,0.33641917466221,0.231061481253901,0.109942873294052,2.15796460327943,8.22537416605595,1.94858943614744,16.6961730097074,0.567044365851344,1.36142915769873,2.06717849901046,3.35623107446051,0.326106992845971,0.068172693197542,0.780773380224057,0.0553484755397105,0.0439544871465916,0.632031720597491,0.13398897326217,0.0996607885615758,0.0349479322253196,0.650162264197355,0.0115518818339277,4.49323699632525,2.27552240081108,0.0790872911226972,0.649489013751901,0.0616830391736887,0.242261003945934,0.594941061405903,0.652948885887872,0.11601627526657,0.0608619530785576,0.59220472755791,0.237470013437848,6.15524484765562,3.16222203898034,0.857514023741451,5.33329254171443,0.771453979876283,0.376124701147779,0.924462994516571,3.97227648714087,0.164316100983205,0.0420972508304763,0.538051727846615,0.185181843170099,0.130089941646244,0.231885852849499,4.51313079382376,0.0138339162709566,0.193730913026535,3.69488685645248,0.213841973860482,0.0292831052629185
"10",10,10,"FMR1",NA,231,"Wt","Pl","F","G10","4a","4a","3a","G10aStart.4.","G10aPre.4.","G10aPost.3.","10-FMR1-231","PostFullPath","/hpf/largeprojects/MICe/zsu/CCP_Raw/InVivo/Edited/RegReady/G10aPost.3.RegReady.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aPost.3.RegReady/stats-volumes/concat_of_G10aPost.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2.mnc","/hpf/largeprojects/MICe/zsu/CCP_Registrations/InVivo/Oct2016_2/TwoLevelReg_CCPOxy_Oct2016_2_first_level/10-FMR1-231_processed/G10aPost.3.RegReady/stats-volumes/concat_of_G10aPost.3.RegReady_N_I_lsq6_lsq12_and_nlin_and_concat_of_identity_xfm_and_10-FMR1-231-nlin-3_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2.mnc",9,0,3.01033523138198,0.309632354933356,0.0974427608808413,2.37308835657794,1.21834830645588,0.289250148555748,10.7731376141276,0.195938398631368,0.347103257997097,0.213167698342774,0.11061806482611,1.84004844301612,8.52627070446593,1.59583701505342,16.3542235849841,0.578139230766776,1.28245228347919,2.10514632560236,3.26841899877831,0.359335605619617,0.0652006926465666,0.776141222156721,0.0587354186568593,0.0465090223487993,0.630448226322551,0.133727078875167,0.0966464484855782,0.0378584562518924,0.659165558058393,0.0115188216248398,4.54194712572474,2.30717791913804,0.081224213048943,0.637384387163256,0.0636155981712876,0.270954353840798,0.610991728014717,0.632867175563814,0.11146922652895,0.0612858604251869,0.602824365851467,0.254568654193749,6.28497278690828,3.25288198736273,0.972599918635779,5.55833396331236,0.902704315133823,0.387044069826996,0.906291358743562,4.10077551948212,0.183902185201764,0.0430791923806232,0.487198652839197,0.187014786039065,0.138986813409013,0.226296644649212,4.5288743198417,0.0146342692946297,0.217634733841381,3.81649916795076,0.219540874252179,0.0305385033259721
